id,category,result_type,result_amount,ingredients
wooden_axe,TOOLS,WOODEN_AXE,1,WOOD:3
stone_axe,TOOLS,STONE_AXE,1,WOOD:2|STONE:3
wooden_pickaxe,TOOLS,WOODEN_PICKAXE,1,WOOD:3
stone_pickaxe,TOOLS,STONE_PICKAXE,1,WOOD:2|STONE:3
wooden_hoe,TOOLS,WOODEN_HOE,1,WOOD:2
stone_hoe,TOOLS,STONE_HOE,1,WOOD:2|STONE:2
wooden_sword,WEAPONS,WOODEN_SWORD,1,WOOD:3
stone_sword,WEAPONS,STONE_SWORD,1,WOOD:1|STONE:3
fence,BUILDING,FENCE,2,WOOD:2
bread,FOOD,BREAD,1,WHEAT:3
boat_kit,ANCIENT,BOAT_KIT,1,WOOD:10|STONE:5|LORE_SCROLL:1
